trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2020/1/14,SPF,3294.75,3288.5,15.25,0.47%,152,3288.5,787,202003
2020/1/14,SPF,-,-,-,-,0,3295.5,1,202103
2020/1/15,SPF,3281,3280,-8.5,-0.26%,115,3280,709,202003
2020/1/15,SPF,-,-,-,-,0,3287,1,202103
2020/1/16,SPF,3296,3298.75,18.75,0.57%,52,3298.75,791,202003
2020/1/16,SPF,-,-,-,-,0,3305.75,1,202103
2020/1/17,SPF,3320,3318,19.25,0.58%,178,3318,765,202003
2020/1/17,SPF,-,-,-,-,0,3325,1,202103
2020/1/20,SPF,3324,3326,8,0.24%,81,3326,678,202003
2020/1/20,SPF,-,-,-,-,0,3333,1,202103
2020/1/30,SPF,3268,3251.5,-74.5,-2.24%,767,3251.5,596,202003
2020/1/30,SPF,-,-,-,-,0,3258.5,1,202103
2020/1/31,SPF,3286,3293.5,42,1.29%,281,3293.5,632,202003
2020/1/31,SPF,-,-,-,-,0,3300.5,1,202103
2020/2/3,SPF,3240,3247,-46.5,-1.41%,684,3247,614,202003
2020/2/3,SPF,3215,3215,-85.5,-2.59%,2,3215,1,202103
2020/2/4,SPF,3246.25,3267,20,0.62%,348,3267,682,202003
2020/2/4,SPF,-,-,-,-,0,3235,1,202103
2020/2/5,SPF,3293,3291,24,0.73%,181,3291,729,202003
2020/2/5,SPF,-,-,-,-,0,3259,1,202103
2020/2/6,SPF,3334.5,3354,63,1.91%,401,3354,636,202003
2020/2/6,SPF,-,-,-,-,0,3322,1,202103
2020/2/7,SPF,3340.5,3339.75,-14.25,-0.42%,49,3339.75,679,202003
2020/2/7,SPF,-,-,-,-,0,3307.75,2,202103
2020/2/10,SPF,3320,3328.25,-11.5,-0.34%,396,3328.25,659,202003
2020/2/10,SPF,-,-,-,-,0,3296.25,2,202103
2020/2/11,SPF,3354,3363.25,35,1.05%,120,3363.25,677,202003
2020/2/11,SPF,-,-,-,-,0,3331.25,2,202103
2020/2/12,SPF,3358.25,3364,0.75,0.02%,235,3364,652,202003
2020/2/12,SPF,-,-,-,-,0,3332,2,202103
2020/2/13,SPF,3367,3367.75,3.75,0.11%,125,3367.75,590,202003
2020/2/13,SPF,-,-,-,-,0,3335.75,2,202103
2020/2/14,SPF,3373,3383,15.25,0.45%,331,3383,622,202003
2020/2/14,SPF,-,-,-,-,0,3351,2,202103
2020/2/17,SPF,3383.75,3389,6,0.18%,38,3389,610,202003
2020/2/17,SPF,-,-,-,-,0,3357,2,202103
2020/2/18,SPF,3376,3370.75,-18.25,-0.54%,166,3370.75,632,202003
2020/2/18,SPF,-,-,-,-,0,3338.75,2,202103
2020/2/19,SPF,3377.25,3379.25,8.5,0.25%,199,3379.25,630,202003
2020/2/19,SPF,-,-,-,-,0,3347.25,2,202103
2020/2/20,SPF,3395,3382,2.75,0.08%,128,3382,652,202003
2020/2/20,SPF,-,-,-,-,0,3350,2,202103
2020/2/21,SPF,3365,3354.25,-27.75,-0.82%,242,3354.25,629,202003
2020/2/21,SPF,-,-,-,-,0,3322.25,2,202103
2020/2/24,SPF,3304,3292.5,-61.75,-1.84%,386,3292.5,473,202003
2020/2/24,SPF,-,-,-,-,0,3260.5,2,202103
2020/2/25,SPF,3245,3251,-41.5,-1.26%,879,3251,390,202003
2020/2/25,SPF,-,-,-,-,0,3219,2,202103
2020/2/26,SPF,3143.5,3146.75,-104.25,-3.21%,1456,3146.75,378,202003
2020/2/26,SPF,3160.75,3156,-63,-1.96%,2,3156,1,202103
2020/2/27,SPF,3100,3066.5,-80.25,-2.55%,1094,3066.5,434,202003
2020/2/27,SPF,-,-,-,-,0,3075.75,1,202103
2020/3/2,SPF,2910,2969.25,-97.25,-3.17%,1755,2969.25,327,202003
2020/3/2,SPF,-,-,-,-,0,2978.5,1,202103
2020/3/3,SPF,3085,3062,92.75,3.12%,841,3062,360,202003
2020/3/3,SPF,-,-,-,-,0,3071.25,1,202103
2020/3/4,SPF,3014.25,3033.25,-28.75,-0.94%,1021,3033.25,255,202003
2020/3/4,SPF,-,-,-,-,0,3042.5,1,202103
2020/3/5,SPF,3106.5,3100,66.75,2.20%,956,3100,374,202003
2020/3/5,SPF,-,-,-,-,0,3109.25,1,202103
2020/3/6,SPF,3018.5,2975.25,-124.75,-4.02%,1808,2975.25,366,202003
2020/3/6,SPF,-,-,-,-,0,2984.5,1,202103
2020/3/9,SPF,2835,2775,-200.25,-6.73%,483,2805.5,345,202003
2020/3/9,SPF,2800,2800,-184.5,-6.18%,1,2843,1,202103
2020/3/10,SPF,2786,2845.75,40.25,1.43%,1245,2845.75,282,202003
2020/3/10,SPF,-,-,-,-,0,2814,1,202103
2020/3/11,SPF,2813.75,2780,-65.75,-2.31%,1084,2780,291,202003
2020/3/11,SPF,-,-,-,-,0,2748.25,1,202103
2020/3/12,SPF,2722.5,2641,-139,-5.00%,1918,2641,306,202003
2020/3/12,SPF,-,-,-,-,0,2609.25,1,202103
2020/3/13,SPF,2455,2533,-108,-4.09%,377,2533,349,202003
2020/3/13,SPF,-,-,-,-,0,2501.25,1,202103
2020/3/16,SPF,2560,2517,-16,-0.63%,10,2517,329,202003
2020/3/16,SPF,-,-,-,-,0,2485.25,1,202103
2020/3/17,SPF,2469,2492,-25,-0.99%,59,2492,280,202003
2020/3/17,SPF,-,-,-,-,0,2460.25,1,202103
2020/3/18,SPF,2423,2395,-97,-3.89%,141,2395,189,202003
2020/3/18,SPF,-,-,-,-,0,2363.25,1,202103
2020/3/19,SPF,2429.5,2298,-97,-4.05%,50,2298,230,202003
2020/3/19,SPF,-,-,-,-,0,2266.25,1,202103
2020/3/20,SPF,2348,2407,109,4.74%,17,2407,180,202003
2020/3/20,SPF,-,-,-,-,0,2375.25,1,202103
2020/3/23,SPF,-,-,-,-,0,2168.5,1,202103
2020/3/24,SPF,-,-,-,-,0,2274.25,1,202103
2020/3/25,SPF,-,-,-,-,0,2408.5,1,202103
2020/3/26,SPF,-,-,-,-,0,2435.5,1,202103
2020/3/27,SPF,-,-,-,-,0,2550,1,202103
2020/3/30,SPF,-,-,-,-,0,2533.5,1,202103
2020/3/31,SPF,-,-,-,-,0,2593,1,202103
2020/4/1,SPF,-,-,-,-,0,2483.5,1,202103
2020/4/6,SPF,-,-,-,-,0,2567.25,1,202103
2020/4/7,SPF,-,-,-,-,0,2640,1,202103
2020/4/8,SPF,-,-,-,-,0,2648.5,1,202103
2020/4/9,SPF,-,-,-,-,0,2720.25,1,202103
2020/4/10,SPF,-,-,-,-,0,2748.5,1,202103
2020/4/13,SPF,-,-,-,-,0,2724,1,202103
2020/4/14,SPF,-,-,-,-,0,2786.25,1,202103
2020/4/15,SPF,-,-,-,-,0,2809.25,1,202103
2020/4/16,SPF,-,-,-,-,0,2761.5,1,202103
